createdAt,full_redirect_url,id,publishedAt,redirect_url,revisedAt,updatedAt,work_id
2026-03-14T14:47:11.138Z,https://sphereworld.org/redirect/?id=yc9gkafc9qn,yc9gkafc9qn,2026-03-14T14:47:11.138Z,https://drive.google.com/drive/folders/1DEsyQ3Pc-atXau44EoASpyi1qNOfB_O3,2026-03-14T14:47:11.138Z,2026-03-14T14:47:11.138Z,AmeliaWatson
2026-03-14T14:47:13.474Z,https://sphereworld.org/redirect/?id=h8r80yybqt,h8r80yybqt,2026-03-14T14:47:13.474Z,https://drive.google.com/drive/folders/1DtlniYgA5GeUAN0dgo2bqIvbVEwIvm_5,2026-03-14T14:47:13.474Z,2026-03-14T14:47:13.474Z,AmeliaWatson2
2026-03-14T14:47:15.867Z,https://sphereworld.org/redirect/?id=p_uzctvlg,p_uzctvlg,2026-03-14T14:47:15.867Z,https://drive.google.com/drive/folders/17gvG_saOlj4_x8E41GnG-jQ_gkLrpfqf,2026-03-14T14:47:15.867Z,2026-03-14T14:47:15.867Z,AmeliaWatson3
2026-03-14T14:47:18.170Z,https://sphereworld.org/redirect/?id=wfr1yf3nih,wfr1yf3nih,2026-03-14T14:47:18.170Z,https://drive.google.com/drive/folders/1oHHoV6cOvWDeQphDi31uuW_NtdsBzyNt,2026-03-14T14:47:18.170Z,2026-03-14T14:47:18.170Z,AmeliaWatson4
2026-03-14T14:47:20.149Z,https://sphereworld.org/redirect/?id=94oumy2rt99g,94oumy2rt99g,2026-03-14T14:47:20.149Z,https://drive.google.com/drive/folders/10hyoCHS4Hp7vk-QbvnEt_87C1Jpq4NhY,2026-03-14T14:47:20.149Z,2026-03-14T14:47:20.149Z,AmeliaWatson5
2026-03-14T14:47:22.171Z,https://sphereworld.org/redirect/?id=4v5d1j71hk,4v5d1j71hk,2026-03-14T14:47:22.171Z,https://drive.google.com/drive/folders/1sQ3YYi0xRODVlJgPLm_zXAaaVxdR9_po,2026-03-14T14:47:22.171Z,2026-03-14T14:47:22.171Z,AmeliaWatson6
2026-03-14T14:47:24.456Z,https://sphereworld.org/redirect/?id=s7y2kjeis,s7y2kjeis,2026-03-14T14:47:24.456Z,https://drive.google.com/drive/folders/1IqvQCiLY7QGdO8A_V2DfvgEgPsx4r9EJ,2026-03-14T14:47:24.456Z,2026-03-14T14:47:24.456Z,AmeliaWatson7
2026-03-14T14:47:26.773Z,https://sphereworld.org/redirect/?id=iowx0p_tcd,iowx0p_tcd,2026-03-14T14:47:26.773Z,https://drive.google.com/drive/folders/1vbo6rAd__9ZUiOHdf_sktUBHu52aGu9R,2026-03-14T14:47:26.773Z,2026-03-14T14:47:26.773Z,Aqua
2026-03-14T14:47:28.789Z,https://sphereworld.org/redirect/?id=t1g6-q6q51,t1g6-q6q51,2026-03-14T14:47:28.789Z,https://drive.google.com/drive/folders/1EzAV46Jum9StJIArnmI0y_XlKxuB6d5P,2026-03-14T14:47:28.789Z,2026-03-14T14:47:28.789Z,Aqua2
2026-03-14T14:47:30.802Z,https://sphereworld.org/redirect/?id=4toweqzcxfb,4toweqzcxfb,2026-03-14T14:47:30.802Z,https://drive.google.com/drive/folders/1w5DZspX44ybeyYb6ix6S-qiIKIdYkIbg,2026-03-14T14:47:30.802Z,2026-03-14T14:47:30.802Z,Aqua3
2026-03-14T14:47:33.126Z,https://sphereworld.org/redirect/?id=792tdp5d3umc,792tdp5d3umc,2026-03-14T14:47:33.126Z,https://drive.google.com/drive/folders/1UPqoz8sYfCzC5llIWU7AJleTfj82dwhI,2026-03-14T14:47:33.126Z,2026-03-14T14:47:33.126Z,Aqua4
2026-03-14T14:47:35.396Z,https://sphereworld.org/redirect/?id=pn0y4iuvo,pn0y4iuvo,2026-03-14T14:47:35.396Z,https://drive.google.com/drive/folders/1OKyT30KOf5QzihBZlH3pml4UrMSgX3ne,2026-03-14T14:47:35.396Z,2026-03-14T14:47:35.396Z,Aqua5
2026-03-14T14:47:37.690Z,https://sphereworld.org/redirect/?id=jn9h82fq3xx,jn9h82fq3xx,2026-03-14T14:47:37.690Z,https://drive.google.com/drive/folders/1QjQYgMJpgmMmlJSuDX-0vEL-05FkV5SC,2026-03-14T14:47:37.690Z,2026-03-14T14:47:37.690Z,Aqua6
2026-03-14T14:47:39.736Z,https://sphereworld.org/redirect/?id=ua5b_xcr_ehg,ua5b_xcr_ehg,2026-03-14T14:47:39.736Z,https://drive.google.com/drive/folders/1rL5Hb-N-o8kEBgTLqNw6r_xs6iBxTfoT,2026-03-14T14:47:39.736Z,2026-03-14T14:47:39.736Z,Aqua7
2026-03-14T14:47:42.094Z,https://sphereworld.org/redirect/?id=jnr0h3bnhj25,jnr0h3bnhj25,2026-03-14T14:47:42.094Z,https://drive.google.com/drive/folders/1Z_yHN7pXG_WGwAZOCsiCnpglwY90dQOw,2026-03-14T14:47:42.094Z,2026-03-14T14:47:42.094Z,AquaSuisei
2026-03-14T15:09:51.852Z,https://sphereworld.org/redirect/?id=eqp3o0jw264,eqp3o0jw264,2026-03-14T15:09:51.852Z,https://drive.google.com/drive/folders/159mtd6-te5PCS9oYcyB476YPFplJqNBX?usp=drive_link,2026-03-14T15:09:51.852Z,2026-03-14T15:09:51.852Z,Archive
2026-03-14T14:47:44.187Z,https://sphereworld.org/redirect/?id=ntuhd1ctdi,ntuhd1ctdi,2026-03-14T14:47:44.187Z,https://drive.google.com/drive/folders/1zn_aNtJsfDI2akRibtcQc1gbsvtNZC_g,2026-03-14T14:47:44.187Z,2026-03-14T14:47:44.187Z,Azki
2026-03-14T14:47:46.575Z,https://sphereworld.org/redirect/?id=b9qj678wbnjb,b9qj678wbnjb,2026-03-14T14:47:46.575Z,https://drive.google.com/drive/folders/1SAmyLjTnfrCjEs94sT0uT51xUm4fEa2s,2026-03-14T14:47:46.575Z,2026-03-14T14:47:46.575Z,Azki2
2026-03-14T14:47:48.887Z,https://sphereworld.org/redirect/?id=jl2nrqcq4j01,jl2nrqcq4j01,2026-03-14T14:47:48.887Z,https://drive.google.com/drive/folders/1YMjLBcmzMfosAyIzTN8XFkaFt846WPaC,2026-03-14T14:47:48.887Z,2026-03-14T14:47:48.887Z,Azki3
2026-03-14T14:47:51.243Z,https://sphereworld.org/redirect/?id=gade95kefs-c,gade95kefs-c,2026-03-14T14:47:51.243Z,https://drive.google.com/drive/folders/1mBXMDqemLGQN0f8zAV1rO8PZcqNUNGRw,2026-03-14T14:47:51.243Z,2026-03-14T14:47:51.243Z,Azki4
2026-03-14T14:47:53.265Z,https://sphereworld.org/redirect/?id=aqriqfh80a6o,aqriqfh80a6o,2026-03-14T14:47:53.265Z,https://drive.google.com/drive/folders/14g6ZxClHNbKFojJoBOpaF_nDBEQp3gvA,2026-03-14T14:47:53.265Z,2026-03-14T14:47:53.265Z,Azki5
2026-03-14T14:47:55.566Z,https://sphereworld.org/redirect/?id=c34mhodq8,c34mhodq8,2026-03-14T14:47:55.566Z,https://drive.google.com/drive/folders/1YCHtJTRTu6VAliW7uQd9xs57UtL2HCQa,2026-03-14T14:47:55.566Z,2026-03-14T14:47:55.566Z,ClaireCruller
2026-03-14T14:47:57.616Z,https://sphereworld.org/redirect/?id=yb-q9hzofa,yb-q9hzofa,2026-03-14T14:47:57.616Z,https://drive.google.com/drive/folders/1dAdNcCaS2KT38LVyx4aCgj7MwffYB0B-,2026-03-14T14:47:57.616Z,2026-03-14T14:47:57.616Z,Cocoa
2026-03-14T14:47:59.635Z,https://sphereworld.org/redirect/?id=567cm8eq6,567cm8eq6,2026-03-14T14:47:59.635Z,https://drive.google.com/drive/folders/1rDZh-quX1ylUSd36qp3Ps4tAkfHR2amq,2026-03-14T14:47:59.635Z,2026-03-14T14:47:59.635Z,Cocoa2
2026-03-14T14:48:01.776Z,https://sphereworld.org/redirect/?id=bup6ar0t-s,bup6ar0t-s,2026-03-14T14:48:01.776Z,https://drive.google.com/drive/folders/1cxDpsLHpMZo68ZlgBcHNIWuf-3-8R5t5,2026-03-14T14:48:01.776Z,2026-03-14T14:48:01.776Z,Cocoa3
2026-03-14T14:48:04.085Z,https://sphereworld.org/redirect/?id=8_n1b31y4v,8_n1b31y4v,2026-03-14T14:48:04.085Z,https://drive.google.com/drive/folders/1LTZd4ZPGy_SVqx5rraKIxGvaeFhG3UQG,2026-03-14T14:48:04.085Z,2026-03-14T14:48:04.085Z,Cocoa4
2026-03-14T14:48:06.507Z,https://sphereworld.org/redirect/?id=zhc3cg8k0h,zhc3cg8k0h,2026-03-14T14:48:06.507Z,https://drive.google.com/drive/folders/1lftd8nWkO1WZRVjslTEHBMKYjceldSiE,2026-03-14T14:48:06.507Z,2026-03-14T14:48:06.507Z,Cocoa6
2026-03-14T14:48:09.388Z,https://sphereworld.org/redirect/?id=lzze7w063z4,lzze7w063z4,2026-03-14T14:48:09.388Z,https://drive.google.com/drive/folders/1Mxxq76x-xfb8_vX90uXupIKfMiLVBSvI,2026-03-14T14:48:09.388Z,2026-03-14T14:48:09.388Z,Cocoa7
2026-03-14T14:48:11.520Z,https://sphereworld.org/redirect/?id=uvsn7my8pv8t,uvsn7my8pv8t,2026-03-14T14:48:11.520Z,https://drive.google.com/drive/folders/1jh-SPHFTJZy5thElW1gp3D1Xg2Rz7CHT,2026-03-14T14:48:11.520Z,2026-03-14T14:48:11.520Z,Cocoa8
2026-03-14T14:48:13.815Z,https://sphereworld.org/redirect/?id=1e8w8_huw5,1e8w8_huw5,2026-03-14T14:48:13.815Z,https://drive.google.com/drive/folders/1XZT5Q5JmqVJVgAcOChiSu1Iz23x0isA1,2026-03-14T14:48:13.815Z,2026-03-14T14:48:13.815Z,GawrGura
2026-03-14T14:48:15.852Z,https://sphereworld.org/redirect/?id=wwjaxooruj,wwjaxooruj,2026-03-14T14:48:15.852Z,https://drive.google.com/drive/folders/1cmn-rtbxkf1Me3Z3xjVID0mNGLDfkdXD,2026-03-14T14:48:15.852Z,2026-03-14T14:48:15.852Z,GawrGura2
2026-03-14T14:48:18.167Z,https://sphereworld.org/redirect/?id=vswc_xp58u2,vswc_xp58u2,2026-03-14T14:48:18.167Z,https://drive.google.com/drive/folders/1YzrLXsBLczD-9HDMNH8ggoaR3hLmHSH1,2026-03-14T14:48:18.167Z,2026-03-14T14:48:18.167Z,GawrGura3
2026-03-14T14:48:20.228Z,https://sphereworld.org/redirect/?id=at58ae_5u4bn,at58ae_5u4bn,2026-03-14T14:48:20.228Z,https://drive.google.com/drive/folders/1UNImXHb7moC0Sw6_N8zzVzJVwRRLuQGe,2026-03-14T14:48:20.228Z,2026-03-14T14:48:20.228Z,GawrGura4
2026-03-14T14:48:22.504Z,https://sphereworld.org/redirect/?id=zp799fbar9,zp799fbar9,2026-03-14T14:48:22.504Z,https://drive.google.com/drive/folders/1IyccYQamg5P90xInb4Dq6E0XDPmWrpaw,2026-03-14T14:48:22.504Z,2026-03-14T14:48:22.504Z,GawrGura5
2026-03-14T15:31:07.749Z,https://sphereworld.org/redirect/?id=iimoxat8zz6c,iimoxat8zz6c,2026-03-14T15:31:07.749Z,https://drive.google.com/drive/folders/1XLUxXVUVakRTz9rguriOnluhvnLXA8pA,2026-03-14T15:31:07.749Z,2026-03-14T15:31:07.749Z,Go-tobun
2026-03-14T14:48:24.528Z,https://sphereworld.org/redirect/?id=kmfm67v3ur,kmfm67v3ur,2026-03-14T14:48:24.528Z,https://drive.google.com/drive/folders/1RluDiWfiTtBka74pcl6iuKeUYb_IY4RO,2026-03-14T14:48:24.528Z,2026-03-14T14:48:24.528Z,HololiveGen3
2026-03-14T14:48:26.799Z,https://sphereworld.org/redirect/?id=a5i3a1thg3_a,a5i3a1thg3_a,2026-03-14T14:48:26.799Z,https://drive.google.com/drive/folders/1fCydfLxjt1hGYR72kJdy7BROJKaIGbk-,2026-03-14T14:48:26.799Z,2026-03-14T14:48:26.799Z,Hololivegen5
2026-03-14T14:48:29.119Z,https://sphereworld.org/redirect/?id=k9pu_m3pm44i,k9pu_m3pm44i,2026-03-14T14:48:29.119Z,https://drive.google.com/drive/folders/1JwowKD1FXKrqsSycL-Q0-Po0BNjDxtqy,2026-03-14T14:48:29.119Z,2026-03-14T14:48:29.119Z,Ina'nis
2026-03-14T14:48:31.401Z,https://sphereworld.org/redirect/?id=77fvwv34z,77fvwv34z,2026-03-14T14:48:31.401Z,https://drive.google.com/drive/folders/1ENuD0V_-0yE9UxKan-6kT6gS3fKLp4WG,2026-03-14T14:48:31.401Z,2026-03-14T14:48:31.401Z,Ina'nis2
2026-03-14T14:48:33.702Z,https://sphereworld.org/redirect/?id=8lf2rt1ge71,8lf2rt1ge71,2026-03-14T14:48:33.702Z,https://drive.google.com/drive/folders/18gyHVqO8lwgXUvJOeZN3-B9naji2j0dN,2026-03-14T14:48:33.702Z,2026-03-14T14:48:33.702Z,Ina'nis3
2026-03-14T14:48:35.995Z,https://sphereworld.org/redirect/?id=j4knxcs4a,j4knxcs4a,2026-03-14T14:48:35.995Z,https://drive.google.com/drive/folders/1xvvszRhGlV7ZeJohCqqCyM_3C3EdAiG3,2026-03-14T14:48:35.995Z,2026-03-14T14:48:35.995Z,Ina'nis4
